,FoodName,GI,Serve,CarbPerServe,GL,URL
0,"Apple, raw",40,120,16,6,foodSearch.php?num=1&ak=detail
1,"Apple, raw, Golden Delicious",39,120,16,6,foodSearch.php?num=2&ak=detail
2,"Apple, Braeburn, raw ",32,120,13,4,foodSearch.php?num=3&ak=detail
3,"Apple, raw",34,120,16,5,foodSearch.php?num=4&ak=detail
4,"Apple, raw ",44,120,13,6,foodSearch.php?num=5&ak=detail
5,"Apple, raw",28,120,13,4,foodSearch.php?num=6&ak=detail
6,"Apple, dried",29,60,36,11,foodSearch.php?num=7&ak=detail
7,"Sliced Apples, canned, solid packed without juice",42,120,10,4,foodSearch.php?num=8&ak=detail
8,"Apple juice, unsweetened, reconstituted",39,250,25,10,foodSearch.php?num=9&ak=detail
9,"Apple juice, Granny Smith, unsweetened ",44,250,30,13,foodSearch.php?num=10&ak=detail
10,"Apple juice, pure, clear, unsweetened",44,250,30,13,foodSearch.php?num=11&ak=detail
11,"Apple juice, pure, cloudy, unsweetened",37,250,28,11,foodSearch.php?num=12&ak=detail
12,"Apricot, raw ",34,120,9,3,foodSearch.php?num=13&ak=detail
13,"Apricot, raw",57,120,9,5,foodSearch.php?num=14&ak=detail
14,"Apricots, dried ",30,60,27,8,foodSearch.php?num=15&ak=detail
15,"Apricots, dried, ready to eat",31,60,22,7,foodSearch.php?num=16&ak=detail
16,"Apricots, dried, ready to eat, bite size",32,60,22,7,foodSearch.php?num=17&ak=detail
17,"Apricots, dried",32,60,30,10,foodSearch.php?num=18&ak=detail
18,Apricot halves canned in fruit juice,51,120,12,6,foodSearch.php?num=19&ak=detail
19,"Apricots, canned in light syrup",64,120,19,12,foodSearch.php?num=20&ak=detail
20,Apricot dried fruit snack,42,15,12,5,foodSearch.php?num=21&ak=detail
21,"Apricot & apple fruit strips, gluten-free",29,20,16,5,foodSearch.php?num=22&ak=detail
22,"Apricot 100% Pure Fruit spread, no added sugar",43,30,16,7,foodSearch.php?num=23&ak=detail
23,"Apricot 100% Fruit Spread, Cottees™ brand",50,30,19,9,foodSearch.php?num=24&ak=detail
24,"Apricot fruit spread, reduced sugar",55,30,13,7,foodSearch.php?num=25&ak=detail
25,President's Choice® Blue Menu™ Twice the Fruit Apricot spread,56,30,12,7,foodSearch.php?num=26&ak=detail
26,"Apricot, coconut and honey muffin",60,50,26,16,foodSearch.php?num=27&ak=detail
27,"Banana, raw",47,120,24,11,foodSearch.php?num=28&ak=detail
28,"Banana, raw",62,120,25,16,foodSearch.php?num=29&ak=detail
29,"Banana, raw",46,120,25,12,foodSearch.php?num=30&ak=detail
30,"Banana, raw",49,120,25,12,foodSearch.php?num=31&ak=detail
31,"Banana, raw",58,120,23,13,foodSearch.php?num=32&ak=detail
32,"Banana, raw",58,120,25,15,foodSearch.php?num=33&ak=detail
33,"Banana, ripe (all yellow)",51,120,25,13,foodSearch.php?num=34&ak=detail
34,"Banana, under-ripe ",30,120,21,6,foodSearch.php?num=35&ak=detail
35,"Banana, slightly under-ripe (yellow with green sections)",42,120,25,11,foodSearch.php?num=36&ak=detail
36,"Banana, over-ripe (yellow flecked with brown) ",48,120,25,12,foodSearch.php?num=37&ak=detail
37,"Banana, over-ripe ",52,120,20,11,foodSearch.php?num=38&ak=detail
38,"Banana, raw",70,120,23,16,foodSearch.php?num=39&ak=detail
39,"Banana, processed fruit fingers, Heinz Kidz™",61,30,20,12,foodSearch.php?num=40&ak=detail
40,"Banana cake, made with sugar",47,60,29,14,foodSearch.php?num=41&ak=detail
41,"Banana cake, made without sugar",55,60,22,12,foodSearch.php?num=42&ak=detail
42,"Banana, oat and honey muffin ",65,50,26,17,foodSearch.php?num=43&ak=detail
43,"Barley, pearled, boiled 60 min ",35,150,42,15,foodSearch.php?num=44&ak=detail
44,"Barley, pearled ",22,150,41,9,foodSearch.php?num=45&ak=detail
45,Barley,22,150,42,9,foodSearch.php?num=46&ak=detail
46,Barley ,27,150,42,11,foodSearch.php?num=47&ak=detail
47,"Barley, pearled  ",29,150,42,12,foodSearch.php?num=48&ak=detail
48,Barley (Hordeum vulgare),37,150,42,16,foodSearch.php?num=49&ak=detail
49,"Barley, cracked (Malthouth, Tunisia)",50,150,42,21,foodSearch.php?num=50&ak=detail
50,"Barley, rolled",66,50,38,25,foodSearch.php?num=51&ak=detail
51,"Barley kernels, high-amylose (hull-less) boiled in water for 25 min (kernel:water = 1:2.5)",20,150,42,8,foodSearch.php?num=52&ak=detail
52,"Barley kernels, waxy (hull-less), boiled in water for 25 min (kernel:water = 1:2.5)",22,150,42,9,foodSearch.php?num=53&ak=detail
53,"Barley kernels, boiled in water for 25 min (kernel:water = 1:2)",25,150,42,10,foodSearch.php?num=54&ak=detail
54,"Barley kernels, high-amylose (covered), boiled in water for 25 min (kernel:water = 1:2)",26,150,42,11,foodSearch.php?num=55&ak=detail
55,"Barley, pot, boiled in salted water 20 min",25,150,42,11,foodSearch.php?num=56&ak=detail
56,"Barley, pot, boiled",35,150,42,15,foodSearch.php?num=57&ak=detail
57,"Barley, pot, boiled 20 min",37,150,42,16,foodSearch.php?num=58&ak=detail
58,Barley (Hordeum vulgare) ,48,150,42,20,foodSearch.php?num=59&ak=detail
59,"Carrots, peeled, boiled ",33,80,5,2,foodSearch.php?num=60&ak=detail
60,"Carrots, peeled, diced, boiled",49,80,5,2,foodSearch.php?num=61&ak=detail
61,"Carrots, raw, diced ",35,80,6,2,foodSearch.php?num=62&ak=detail
62,"Carrots, raw, ground ",39,80,6,2,foodSearch.php?num=63&ak=detail
63,"Carrot juice, freshly made",43,250,23,10,foodSearch.php?num=64&ak=detail
64,"Carrot cake, prepared with coconut flour ",36,60,23,8,foodSearch.php?num=65&ak=detail
65,"Carrot soup, President's Choice® Blue Menu™ Soupreme",35,250,13,5,foodSearch.php?num=66&ak=detail
66,"Chocolate, dark, Dove®",23,50,26,6,foodSearch.php?num=67&ak=detail
67,"Chocolate, plain",49,50,30,14,foodSearch.php?num=68&ak=detail
68,"Chocolate, plain with sucrose ",34,50,22,7,foodSearch.php?num=69&ak=detail
69,"Chocolate, plain Dove®",45,50,30,13,foodSearch.php?num=70&ak=detail
70,"Chocolate, plain",42,50,31,13,foodSearch.php?num=71&ak=detail
71,"Chocolate candy, sugar free, artificially sweetened, Dove®",23,50,15,3,foodSearch.php?num=72&ak=detail
72,"Chocolate, dark with raisins, peanuts and jam",44,50,27,12,foodSearch.php?num=73&ak=detail
73,"Cocoavia™ Chocolate Covered Almonds, artificially sweetened",21,30,10,2,foodSearch.php?num=74&ak=detail
74,Chocolate cake made from packet mix with chocolate frosting,38,111,52,20,foodSearch.php?num=75&ak=detail
75,"Chocolate crinkles, containing coconut flour ",43,50,23,10,foodSearch.php?num=76&ak=detail
76,"Sweet corn, 'Honey & Pearl' variety ",37,80,16,6,foodSearch.php?num=77&ak=detail
77,"Sweet corn on the cob, boiled 20 min",48,80,16,8,foodSearch.php?num=78&ak=detail
78,Sweet corn ,55,80,16,9,foodSearch.php?num=79&ak=detail
79,"Sweet corn, boiled ",60,80,18,11,foodSearch.php?num=80&ak=detail
80,Sweet corn ,62,80,18,11,foodSearch.php?num=81&ak=detail
81,"Sweet corn, cooked",52,150,33,17,foodSearch.php?num=82&ak=detail
82,Sweet corn ,59,150,33,19,foodSearch.php?num=83&ak=detail
83,Sweet corn ,60,150,33,20,foodSearch.php?num=84&ak=detail
84,"Sweet corn, whole kernel, canned, diet-pack, drained",46,150,28,13,foodSearch.php?num=85&ak=detail
85,"Sweet corn, frozen, reheated in microwave",47,150,33,16,foodSearch.php?num=86&ak=detail
86,Corn granules ,52,150,28,15,foodSearch.php?num=87&ak=detail
87,"Maize/corn (Zea Mays), flour made into chapatti ",59,30,13,8,foodSearch.php?num=88&ak=detail
88,Cornmeal porridge ,68,150,13,9,foodSearch.php?num=89&ak=detail
89,"Cornmeal, boiled in salted water 2 min",68,150,13,9,foodSearch.php?num=90&ak=detail
90,Cornmeal + margarine,69,150,12,8,foodSearch.php?num=91&ak=detail
91,"Fructose, 25 g portion, Sweeten Less",11,10,10,1,foodSearch.php?num=92&ak=detail
92,"Fructose, 50 g portion, Sweeten Less",12,10,10,1,foodSearch.php?num=93&ak=detail
93,"Fructose, 50 g portion ",23,10,10,2,foodSearch.php?num=94&ak=detail
94,"Glucose, 50 g portion (dextrose)",96,10,10,10,foodSearch.php?num=95&ak=detail
95,"Glucose, 50 g portion",96,10,10,10,foodSearch.php?num=96&ak=detail
96,"Glucose, 50 g portion",100,10,10,10,foodSearch.php?num=97&ak=detail
97,"Glucose, 50 g portion, Glucodin™ glucose tablets",102,10,10,10,foodSearch.php?num=98&ak=detail
98,"Glucose, 50 g portion (dextrose)",111,10,10,11,foodSearch.php?num=99&ak=detail
99,"Glucose, 25 g portion",103,10,10,10,foodSearch.php?num=100&ak=detail
100,"Glucose, 100 g portion",114,10,10,11,foodSearch.php?num=101&ak=detail
101,"Glucose, 25 g portion (Glucodex), consumed 40 min before 3 g American dried ginseng (Panax quinquefolius L.)",76,10,10,8,foodSearch.php?num=102&ak=detail
