,번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
0,1,곡류 및 그 제품,"고량미,고량미, 알곡",100.0,349.0,67.8,10.1,3.7,0.0,0.0,0.0,0.0,0.0,2001
1,2,곡류 및 그 제품,"과자,스넥과자, 유아용과자",100.0,129.9,20.13,3.54,3.96,0.0,57.6,0.0,0.0,0.0,2006
2,4,곡류 및 그 제품,"귀리 가공(기타), 오트밀 ",100.0,348.0,64.9,13.2,8.2,0.0,4.0,0.0,0.0,0.0,2017
3,6,곡류 및 그 제품,"귀리(겉귀리), 도정곡, 생것",100.0,332.0,73.5,11.4,3.7,0.0,2.0,0.0,0.0,0.0,2017
4,8,곡류 및 그 제품,"귀리(쌀귀리),  도정곡, 생것",100.0,334.0,70.4,14.3,3.8,0.0,3.0,0.0,0.0,0.0,2017
5,10,곡류 및 그 제품,"기장, 도정곡, 생것",100.0,360.0,74.6,11.2,1.9,0.0,6.0,0.0,0.0,0.0,2017
6,11,곡류 및 그 제품,"냄비우동, 냉동 ",100.0,206.0,43.9,6.0,0.7,0.0,0.0,0.0,0.0,0.0,2011
7,13,곡류 및 그 제품,"녹두 가공(면류), 녹두국수 ",100.0,356.0,87.5,0.2,0.4,0.0,14.0,0.0,0.0,0.0,2017
8,14,곡류 및 그 제품,"대두 가공(과자류), 엿강정 ",100.0,135.3,11.73,11.31,4.8,0.0,1.5,0.0,0.0,0.0,2011
9,16,곡류 및 그 제품,"도토리 가공(면류), 국수, 마른것 ",100.0,307.0,72.2,12.4,0.7,0.0,517.0,0.0,0.0,0.0,2017
10,17,곡류 및 그 제품,"들깨 가공(과자류), 엿강정 ",100.0,161.4,14.67,3.96,9.66,0.0,1.2,0.0,0.0,0.0,2011
11,18,곡류 및 그 제품,"땅콩 가공(과자류), 엿강정 ",100.0,173.4,10.17,6.42,11.88,0.0,0.9,0.0,0.0,0.0,2011
12,20,곡류 및 그 제품,"라면, 스프포함, 조리 ",100.0,101.0,18.5,2.2,2.0,0.0,388.0,0.0,0.0,0.0,2017
13,22,곡류 및 그 제품,"라면,봉지면, 진라면, 매운맛(오뚜기)",100.0,369.0,78.69,8.59,2.22,0.0,1338.0,0.0,1.44,0.0,2017
14,24,곡류 및 그 제품,"만두, 고기만두, 냉동 ",100.0,208.0,27.79,9.38,6.58,0.49,261.0,7.35,2.41,0.0,2017
15,26,곡류 및 그 제품,"만두, 김치만두, 냉동 ",100.0,187.0,23.82,8.13,6.59,0.67,423.0,7.68,2.37,0.0,2017
16,28,곡류 및 그 제품,"메밀 가공(가루), 메밀가루 ",100.0,355.0,71.36,12.96,3.29,0.37,1.0,0.0,0.7,0.0,2017
17,30,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면 ",100.0,352.0,74.41,13.58,1.27,2.77,707.0,0.0,0.38,0.0,2017
18,32,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면, 삶은것 ",100.0,108.0,22.65,4.28,0.4,0.0,35.0,0.0,0.12,0.0,2017
19,34,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면 ",100.0,274.0,61.14,7.59,0.96,0.0,455.0,0.0,0.27,0.0,2017
20,36,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면, 삶은것 ",100.0,117.0,25.73,3.54,0.44,0.0,38.0,0.0,0.13,0.0,2017
21,38,곡류 및 그 제품,"메밀 가공(면류), 메밀냉면, 인스턴트, 마른것 ",100.0,339.0,73.66,10.74,1.44,0.0,628.0,0.0,0.34,0.0,2017
22,40,곡류 및 그 제품,"메밀, 도정곡, 생것 ",100.0,345.0,67.84,13.64,3.38,0.5,1.0,0.0,0.71,0.0,2017
23,42,곡류 및 그 제품,"멥쌀 가공(가루), 백미가루 ",100.0,362.0,78.5,6.2,0.9,0.1,2.0,0.0,-0.29,0.0,2017
24,43,곡류 및 그 제품,"멥쌀 가공(가루), 현미가루 ",100.0,151.6,32.16,2.96,1.04,0.0,2.4,0.0,0.0,0.0,2011
25,45,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀과자 ",100.0,469.0,78.2,3.2,15.9,0.0,224.0,0.0,0.0,0.0,2017
26,47,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀엿강정 ",100.0,395.0,89.96,4.11,2.13,35.58,4.0,0.0,1.12,0.0,2017
27,48,곡류 및 그 제품,"멥쌀 가공(과자류), 튀김쌀과자 ",100.0,139.5,21.36,1.71,5.25,0.0,147.0,0.0,0.0,0.0,2011
28,50,곡류 및 그 제품,"멥쌀 가공(과자류), 튀밥 ",100.0,393.0,80.7,8.7,3.9,0.0,74.0,0.0,0.0,0.0,2017
29,52,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡 ",100.0,213.0,48.8,3.71,0.37,0.09,261.0,0.0,0.16,0.0,2017
30,54,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡, 흑미가래떡 ",100.0,205.0,47.8,3.5,0.0,0.0,226.0,0.0,0.0,0.0,2017
31,56,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡 ",100.0,207.0,45.6,4.3,0.8,0.0,155.0,0.0,0.0,0.0,2017
32,58,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡, 쑥개피떡 ",100.0,206.0,45.2,4.5,0.8,0.0,157.0,0.0,0.0,0.0,2017
33,60,곡류 및 그 제품,"멥쌀 가공(떡류), 꿀떡 ",100.0,210.0,46.14,3.09,1.46,7.39,248.0,0.0,0.28,0.0,2017
34,62,곡류 및 그 제품,"멥쌀 가공(떡류), 무지개떡 ",100.0,229.0,53.0,3.5,0.3,0.0,277.0,0.0,0.0,0.0,2017
35,64,곡류 및 그 제품,"멥쌀 가공(떡류), 백설기 ",100.0,228.0,52.5,3.6,0.4,0.0,289.0,0.0,0.0,0.0,2017
36,66,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 검정콩 ",100.0,200.0,41.2,6.9,0.8,0.0,463.0,0.0,0.0,0.0,2017
37,68,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 깨 ",100.0,224.0,44.01,5.9,2.74,6.44,173.0,0.0,0.52,0.0,2017
38,70,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 팥 ",100.0,200.0,43.6,5.4,0.4,0.0,466.0,0.0,0.0,0.0,2017
39,72,곡류 및 그 제품,"멥쌀 가공(떡류), 시루떡 ",100.0,183.0,38.94,5.83,0.41,0.94,233.0,0.0,0.16,0.0,2017
40,73,곡류 및 그 제품,"멥쌀 가공(떡류), 쑥설기 ",100.0,242.0,55.6,4.3,0.3,0.0,33.0,0.0,0.0,0.0,2011
41,75,곡류 및 그 제품,"멥쌀 가공(떡류), 절편 ",100.0,215.0,49.04,3.69,0.49,0.1,220.0,0.0,0.19,0.0,2017
42,77,곡류 및 그 제품,"멥쌀 가공(떡류), 증편 ",100.0,198.0,45.23,2.99,0.57,8.95,289.0,0.0,0.15,0.0,2017
43,79,곡류 및 그 제품,"멥쌀 가공(면류), 쌀국수, 건면",100.0,340.0,72.6,9.1,1.5,0.0,1964.0,0.0,0.0,0.0,2017
44,81,곡류 및 그 제품,"멥쌀 가공(밥죽류), 누룽지",100.0,374.0,86.8,6.8,0.2,0.0,6.0,0.0,0.0,0.0,2017
45,83,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 미음 ",100.0,21.0,4.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2017
46,85,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 밥 ",100.0,145.0,33.2,3.0,0.1,0.0,3.0,0.0,0.0,0.0,2017
47,87,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 죽 ",100.0,68.0,15.6,1.4,0.0,0.0,3.0,0.0,0.0,0.0,2017
48,89,곡류 및 그 제품,"멥쌀 가공(밥죽류), 찐쌀, 마른것 ",100.0,354.0,83.7,5.2,0.1,0.0,29.0,0.0,0.0,0.0,2017
49,91,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 미음 ",100.0,20.0,4.4,0.4,0.1,0.1,0.0,0.0,-0.02,0.0,2017
50,93,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 밥 ",100.0,145.0,37.3,3.3,0.2,0.0,2.0,0.0,0.0,0.0,2017
51,95,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 죽 ",100.0,70.0,15.2,1.2,0.4,0.4,1.0,0.0,-0.09,0.0,2017
52,97,곡류 및 그 제품,"멥쌀, 배아미, 생것 ",100.0,357.0,75.8,6.5,2.0,0.6,1.0,0.0,0.55,0.0,2017
53,99,곡류 및 그 제품,"멥쌀, 백미, 생것",100.0,345.0,79.5,6.4,0.4,0.0,8.0,0.0,0.0,0.0,2017
54,101,곡류 및 그 제품,"멥쌀, 현미, 흑미, 생것 ",100.0,312.0,75.31,7.59,2.31,0.67,4.0,0.0,0.5,0.0,2017
55,103,곡류 및 그 제품,"밀 가공(가루), 강력밀가루, 수입산",100.0,322.0,72.89,13.59,1.11,0.0,1.0,0.0,0.27,0.0,2017
56,105,곡류 및 그 제품,"밀 가공(가루), 도우넛가루 ",100.0,412.0,73.9,8.5,6.8,0.0,778.0,0.0,0.0,0.0,2017
57,107,곡류 및 그 제품,"밀 가공(가루), 박력밀가루, 수입산",100.0,378.0,77.5,8.7,0.8,0.0,2.0,0.0,0.0,0.0,2017
58,109,곡류 및 그 제품,"밀 가공(가루), 부침가루 ",100.0,376.0,75.52,9.8,0.98,3.49,786.0,0.0,0.24,0.0,2017
59,111,곡류 및 그 제품,"밀 가공(가루), 빵가루 ",100.0,400.0,77.04,11.95,2.05,4.74,306.0,0.0,0.76,0.0,2017
60,113,곡류 및 그 제품,"밀 가공(가루), 중력밀가루 ",100.0,383.0,76.64,10.34,1.01,0.0,1.0,0.0,0.26,0.0,2017
61,114,곡류 및 그 제품,"밀 가공(가루), 케이크가루, 당근 ",100.0,166.0,31.68,2.04,3.92,0.0,226.8,0.0,0.0,0.0,2011
62,116,곡류 및 그 제품,"밀 가공(가루), 통밀가루 ",100.0,372.0,71.5,11.9,1.6,0.0,5.0,0.0,0.0,0.0,2017
63,118,곡류 및 그 제품,"밀 가공(가루), 튀김가루 ",100.0,376.0,78.41,7.22,0.8,0.0,876.0,0.0,0.22,0.0,2017
64,120,곡류 및 그 제품,"밀 가공(가루), 팬케이크가루 ",100.0,402.0,75.9,7.9,4.9,0.0,735.0,0.0,0.0,0.0,2017
65,122,곡류 및 그 제품,"밀 가공(과자류), 건빵 ",100.0,419.0,75.37,9.92,8.67,16.84,457.0,0.0,3.68,0.0,2017
66,124,곡류 및 그 제품,"밀 가공(과자류), 만주, 밤 ",100.0,330.0,70.86,6.35,2.39,42.45,158.0,0.0,0.86,0.0,2017
67,126,곡류 및 그 제품,"밀 가공(과자류), 모나카 ",100.0,346.0,82.62,3.35,0.29,36.58,64.0,0.0,0.08,0.0,2017
68,128,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 소프트(설탕 21g) ",100.0,489.0,60.34,5.7,24.93,23.46,227.0,31.02,11.98,0.0,2017
69,130,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 하드(설탕 17g) ",100.0,534.0,62.63,6.68,28.58,9.21,481.0,1.59,13.97,0.0,2017
70,132,곡류 및 그 제품,"밀 가공(과자류), 사과파이(설탕 16g) ",100.0,471.0,64.98,5.5,21.0,22.83,207.0,0.0,11.38,0.0,2017
71,134,곡류 및 그 제품,"밀 가공(과자류), 센베이 ",100.0,398.0,84.0,7.5,3.5,48.1,130.0,110.0,-0.92,0.0,2017
72,136,곡류 및 그 제품,"밀 가공(과자류), 센베이, 김 ",100.0,420.0,82.8,6.7,6.9,0.0,150.0,0.0,0.0,0.0,2017
73,138,곡류 및 그 제품,"밀 가공(과자류), 스넥, 감자 ",100.0,536.0,60.92,4.95,30.33,0.0,342.0,0.0,8.17,0.0,2017
74,139,곡류 및 그 제품,"밀 가공(과자류), 스넥, 밀가루 ",100.0,192.8,27.52,2.92,7.88,0.0,284.0,0.0,0.0,0.0,2011
75,141,곡류 및 그 제품,"밀 가공(과자류), 스넥, 새우 ",100.0,494.0,66.32,6.04,22.77,4.0,577.0,0.0,6.77,0.0,2017
76,143,곡류 및 그 제품,"밀 가공(과자류), 스넥, 옥수수 ",100.0,520.0,65.73,5.25,26.27,2.01,420.0,0.0,7.64,0.0,2017
77,145,곡류 및 그 제품,"밀 가공(과자류), 약과 ",100.0,422.0,71.7,3.8,13.3,0.0,34.0,0.0,0.0,0.0,2017
78,147,곡류 및 그 제품,"밀 가공(과자류), 와플(설탕 11g) ",100.0,291.0,32.9,7.9,14.1,0.0,511.0,69.0,2.87,0.0,2017
79,149,곡류 및 그 제품,"밀 가공(과자류), 와플, 잼(설탕 11g) ",100.0,287.0,57.3,4.8,4.2,36.4,51.0,59.0,-1.55,0.0,2017
80,151,곡류 및 그 제품,"밀 가공(과자류), 와플, 커스터드크림(설탕 11g) ",100.0,252.0,38.1,7.3,7.9,15.1,65.0,170.0,-2.63,0.0,2017
81,153,곡류 및 그 제품,"밀 가공(과자류), 웨하스, 바닐라 ",100.0,521.0,65.6,4.1,26.9,0.0,131.0,0.0,0.0,0.0,2017
82,155,곡류 및 그 제품,"밀 가공(과자류), 초코볼 ",100.0,501.0,70.2,4.3,22.5,0.0,54.0,0.0,0.0,0.0,2017
83,157,곡류 및 그 제품,"밀 가공(과자류), 초코파이 ",100.0,428.0,67.59,4.29,15.57,31.18,224.0,0.0,9.51,0.0,2017
84,159,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 땅콩버터 ",100.0,493.0,67.97,8.36,20.87,22.42,346.0,6.84,9.97,0.0,2017
85,161,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 버터 ",100.0,512.0,66.47,6.37,24.52,16.45,226.0,25.86,13.4,0.0,2017
86,163,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 초코칩 ",100.0,494.0,71.38,5.92,20.55,23.18,312.0,13.38,11.21,0.0,2017
87,165,곡류 및 그 제품,"밀 가공(과자류), 크랙커 ",100.0,513.0,58.8,7.0,27.8,0.0,634.0,0.0,0.0,0.0,2017
88,167,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 땅콩샌드 ",100.0,524.0,64.23,7.66,26.24,14.64,195.0,0.0,12.99,0.0,2017
89,169,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 치즈샌드 ",100.0,497.0,68.24,6.08,22.23,14.69,539.0,0.0,13.24,0.0,2017
90,171,곡류 및 그 제품,"밀 가공(과자류), 피칸파이 ",100.0,360.0,43.2,8.0,17.2,0.0,90.0,0.0,0.0,0.0,2017
91,173,곡류 및 그 제품,"밀 가공(면류), 국수, 건면",100.0,374.0,74.0,10.31,1.3,6.42,1372.0,0.0,0.35,0.0,2017
92,175,곡류 및 그 제품,"밀 가공(면류), 국수, 건면, 삶은것 ",100.0,126.0,24.87,3.49,0.41,0.0,115.0,0.0,0.12,0.0,2017
93,177,곡류 및 그 제품,"밀 가공(면류), 라면, 건면",100.0,452.0,69.05,8.23,14.28,0.0,437.0,0.0,6.68,0.0,2017
