,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
0,"Apple, raw",,40,120,16,6,USA,Fruit and Fruit products,1986,,5h,7,Type 2,"Gannon MC, Nuttall FQ, Krezowski PA, Billington CJ, Parker S.  The serum insulin and plasma glucose responses to milk and fruit products in Type 2 (non-insulin-dependent) diabetic patients.  Diabetologia 1986; 29: 784-91."
1,"Apple, raw, Golden Delicious",,39,120,16,6,Canada,Fruit and Fruit products,1981,3,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
2,"Apple, Braeburn, raw ",,32,120,13,4,New Zealand,Fruit and Fruit products,1992,4,3h,15,Type 2 & IGT,"Ha M-A, Mann JI, Melton LD, Lewis-Barned NJ. Relationship between the glycaemic index and sugar content of fruits. Diab Nutr Metab 1992; 5: 199-203."
3,"Apple, raw",,34,120,16,5,Canada,Fruit and Fruit products,1978,,Not specified,Not specified,Type 2,"Schauberger G, Brinck UC, Guldner G, Spaethe R, Niklas L, Otto H.  Exchange of carbohydrates according to their effect on blood glucose.  Diabetes 1978; 26: 415 (abstr)."
4,"Apple, raw ",,44,120,13,6,Italy,Fruit and Fruit products,1995,,3h,7,Type 2,"Lunetta M, Di Mauro M, Crimi S, Mughini L. No important differences in glycaemic responses to common fruits in type 2 diabetic patients. Diab Medicine 1995; 12(8): 674-8."
5,"Apple, raw",,28,120,13,4,Denmark,Fruit and Fruit products,1992,,3h,8,Type 2,"Gregersen S, Rasmussen O, Larsen S, Hermansen K.  Glycaemic and insulinaemic responses to orange and apple compared with white bread in non-insulin-dependent diabetic subjects.  Euro J Clin Nutr 1992; 46: 301-3."
6,"Apple, dried",,29,60,36,11,Australia,Fruit and Fruit products,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
7,"Sliced Apples, canned, solid packed without juice","Langeberg and Ashton Foods Pty Ltd, South Africa",42,120,10,4,South Africa,Fruit and Fruit products,2007,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
8,"Apple juice, unsweetened, reconstituted","Berrivale Orchards Ltd, Berri,  Australia",39,250,25,10,Australia,Fruit Juices,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
9,"Apple juice, Granny Smith, unsweetened ",,44,250,30,13,Australia,Fruit Juices,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
